ID,present,WC_alt,WC_bio1,WC_bio12,ER_tri,ER_thermicityIndex,lon,lat
68,1,97,17.700000762939453,153,0.9300000071525574,342.5,-119.262823,35.3683
69,1,2099,7.699999809265137,413,103.30000305175781,56,-112.122017,36.037686
70,1,2375,4.5,528,29.100000381469727,-45.25,-107.107532,37.257995
71,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961728,46.878299
72,1,385,14.399999618530273,333,36.63999938964844,299,-120.97734,36.237046
73,1,43,13.699999809265137,903,13.609999656677246,299,-122.822771,38.386991
74,1,452,11.600000381469727,630,40.189998626708984,183,-122.842075,42.539863
75,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.040413,41.318389
76,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961858,46.874284
77,1,1870,-0.6000000238418579,601,167.75999450683594,-208.75,-115.333362,51.081788
78,1,834,8.800000190734863,426,16.100000381469727,76.75,-117.878711,45.326762
79,1,2450,8.600000381469727,548,41.439998626708984,92,-105.607457,33.080128
80,1,2099,7.699999809265137,413,103.30000305175781,56,-112.121452,36.038205
81,1,138,9.899999618530273,2233,57.790000915527344,210,-123.95783,45.899553
82,1,1547,12.899999618530273,217,55.400001525878906,213.75,-115.640691,36.476005
83,1,138,9.899999618530273,2233,57.790000915527344,210,-123.958515,45.899493
84,1,722,6.199999809265137,380,19.989999771118164,72.75,-103.539877,47.014389
85,1,2670,7.5,603,40.77000045776367,63,-105.748658,32.948172
86,1,2316,9.300000190734863,510,48.810001373291016,111,-105.575326,33.041052
87,1,1870,-0.6000000238418579,601,167.75999450683594,-208.75,-115.336155,51.082065
88,1,138,9.899999618530273,2233,57.790000915527344,210,-123.958183,45.900538
89,1,2450,8.600000381469727,548,41.439998626708984,92,-105.601265,33.07542
90,1,1074,15.699999809265137,148,33.209999084472656,296.75,-115.621715,36.577595
91,1,2099,7.699999809265137,413,103.30000305175781,56,-112.099258,36.051808
92,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.960269,46.877589
93,1,249,9.199999809265137,2417,44.81999969482422,170,-123.654601,46.147226
94,1,138,9.899999618530273,2233,57.790000915527344,210,-123.95758,45.900153
95,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961484,46.875112
96,1,249,9.199999809265137,2417,44.81999969482422,170,-123.654601,46.147226
97,1,249,9.199999809265137,2417,44.81999969482422,170,-123.654601,46.147226
98,1,3422,-0.699999988079071,834,170.82000732421875,-196.25,-107.811827,37.939034
99,1,1215,2.5,490,9.699999809265137,-111.75,-114.483857,51.05538
100,1,892,3.5,568,57.310001373291016,-85.5,-116.062695,50.567565
101,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.037197,41.324581
102,1,50,13.300000190734863,967,25.889999389648438,299,-122.897111,38.275666
103,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.034147,41.327394
104,1,1847,11,269,14.15999984741211,153.5,-109.435662,35.057755
105,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.045357,41.322704
106,1,1144,10.100000381469727,1661,109.16000366210938,104.5,-83.336356,35.53655
107,1,1144,10.100000381469727,1661,109.16000366210938,104.5,-83.397548,35.576108
108,1,290,15.399999618530273,1146,26.440000534057617,269.75,-94.843291,35.681462
109,1,490,15.699999809265137,753,22.790000915527344,290.75,-98.608464,34.714617
110,1,898,6.599999904632568,2263,91.19999694824219,64,-122.006469,46.756912
111,1,112,12.899999618530273,1013,44.439998626708984,293.5,-122.897795,38.063222
112,1,106,18,155,1.0199999809265137,351.5,-119.236728,35.356463
113,1,2547,3.799999952316284,489,53.380001068115234,-65.25,-105.465749,39.953036
114,1,7,10.399999618530273,1979,19.350000381469727,218,-123.95952,46.191708
115,1,490,15.699999809265137,753,22.790000915527344,290.75,-98.630383,34.687153
116,1,1594,0.699999988079071,564,111.55999755859375,-170,-115.344186,51.089993
117,1,1525,9.300000190734863,369,8.569999694824219,111.5,-105.060757,40.407692
118,1,842,5.5,531,45.400001525878906,-16.25,-115.640228,49.610112
119,1,1756,7.800000190734863,381,57.560001373291016,61,-107.651461,39.533139
120,1,1640,10.100000381469727,250,22.559999465942383,133.25,-115.335116,38.205795
121,1,2083,4.800000190734863,488,47.959999084472656,-26.25,-107.04771,40.498342
122,1,31,12.699999809265137,970,22.299999237060547,291,-122.96306,38.029263
123,1,1034,18.899999618530273,347,42.720001220703125,367.25,-103.061658,29.535919
124,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.043616,41.320051
125,1,1125,10.199999809265137,1535,94.29000091552734,108,-83.110268,35.650992
126,1,1945,3.299999952316284,424,110.27999877929688,-72.75,-114.351717,43.697129
127,1,986,16.200000762939453,135,23.8700008392334,312.25,-115.640793,36.598972
128,1,1085,8.899999618530273,431,63.880001068115234,98.5,-116.072798,43.555223
129,1,57,13,1025,31.049999237060547,294.5,-122.967892,38.308615
130,1,48,12.899999618530273,992,29.84000015258789,294,-122.99658,38.200325
131,1,2,10.300000190734863,2015,5.880000114440918,218,-124.003823,46.220957
132,1,2450,8.600000381469727,548,41.439998626708984,92,-105.65728,33.003686
133,1,NA,NA,NA,NA,NA,-122.871898,37.969383
134,1,505,7.5,1086,47.86000061035156,40.25,-78.397225,41.315658
135,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.966444,46.877014
136,1,27,16.5,251,0.4300000071525574,312.75,-120.817755,37.190443
137,1,31,16.600000381469727,223,0.949999988079071,315,-120.821129,37.044814
138,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.966444,46.877014
139,1,91,10.800000190734863,1215,27.06999969482422,182,-123.147844,45.425862
140,1,30,16.5,255,0.5600000023841858,313.25,-120.68013,37.167454
141,1,1316,2.299999952316284,624,99.55999755859375,-119,-115.837954,50.164257
142,1,2356,9.199999809265137,535,77.69000244140625,107,-105.818175,32.95508
143,1,1967,7.699999809265137,446,56.97999954223633,58.75,-105.215127,39.729559
144,1,34,12.899999618530273,969,22.809999465942383,294.5,-122.93008,38.121366
145,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.038481,41.323289
146,1,407,11.899999618530273,560,19.100000381469727,187.25,-122.898872,42.497922
147,1,1777,11.5,641,71.62000274658203,172.75,-111.455141,34.384474
148,1,31,12.699999809265137,970,22.299999237060547,291,-122.969566,38.044774
149,1,534,14.100000381469727,778,100.30999755859375,269,-122.267374,38.880586
150,1,2756,2.0999999046325684,532,130.41000366210938,-114.25,-105.606388,40.385768
151,1,519,13.600000381469727,821,45.369998931884766,254,-122.536847,38.855415
152,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.964405,46.877293
